populacao,municipio,cod_mun,ano
35307,Cachoeira do Piriá,1501956,2021
24355,Cachoeira do Arari,1502004,2021
140814,Cametá,1502103,2021
39103,Canaã dos Carajás,1502152,2021
69828,Capanema,1502202,2021
54545,Capitão Poço,1502301,2021
205667,Castanhal,1502400,2021
24175,Chaves,1502509,2021
12175,Colares,1502608,2021
48115,Conceição do Araguaia,1502707,2021
34236,Concórdia do Pará,1502756,2021
14044,Cumaru do Norte,1502764,2021
17764,Curionópolis,1502772,2021
35530,Curralinho,1502806,2021
14776,Curuá,1502855,2021
41093,Curuçá,1502905,2021
61206,Dom Eliseu,1502939,2021
34069,Eldorado do Carajás,1502954,2021
6949,Faro,1503002,2021
20742,Floresta do Araguaia,1503044,2021
26155,Garrafão do Norte,1503077,2021
41678,Goianésia do Pará,1503093,2021
34127,Gurupá,1503101,2021
39234,Igarapé,1503200,2021
63367,Igarapé,1503309,2021
12009,Inhangapi,1503408,2021
67170,Ipixuna do Pará,1503457,2021
32639,Irituia,1503507,2021
101541,Itaituba,1503606,2021
53439,Itupiranga,1503705,2021
6952,Jacareacanga,1503754,2021
60517,Jacundá,1503804,2021
59961,Juruti,1503903,2021
29623,Limoeiro do Ajuru,1504000,2021
30389,Mãe do Rio,1504059,2021
8598,Magalhães Barata,1504109,2021
287664,Marabá,1504208,2021
29559,Maracanã,1504307,2021
28563,Marapanim,1504406,2021
135812,Marituba,1504422,2021
32347,Medicilândia,1504455,2021
28121,Melgaço,1504505,2021
31917,Mocajuba,1504604,2021
84251,Moju,1504703,2021
16282,Mojuí dos Campos,1504752,2021
58289,Monte Alegre,1504802,2021
41454,Muaná,1504901,2021
21519,Nova Esperança do Piriá,1504950,2021
17027,Nova Ipixuna,1504976,2021
15646,Nova Timboteua,1505007,2021
25769,Novo Progresso,1505031,2021
78488,Novo Repartimento,1505064,2021
52473,Óbidos,1505106,2021
33182,Oeiras do Pará,1505205,2021
74921,Oriximiná,1505304,2021
18079,Ourém,1505403,2021
33831,Ourilândia do Norte,1505437,2021
49110,Pacajá,1505486,2021
7575,Palestina do Pará,1505494,2021
115838,Paragominas,1505502,2021
218787,Parauapebas,1505536,2021
5339,Pau D'Arco,1505551,2021
8084,Peixe,1505601,2021
12976,Piçarra,1505635,2021
32325,Placas,1505650,2021
32007,Ponta de Pedras,1505700,2021
63831,Portel,1505809,2021
