pib,municipio,cod_mun,ano
1949341,Abaetetuba - PA,1500107,2021
105496,Abel Figueiredo - PA,1500131,2021
1433440,Acará - PA,1500206,2021
444236,Afuá - PA,1500305,2021
643132,Água Azul do Norte - PA,1500347,2021
745403,Alenquer - PA,1500404,2021
688370,Almeirim - PA,1500503,2021
3120219,Altamira - PA,1500602,2021
259020,Anajás - PA,1500701,2021
8939830,Ananindeua - PA,1500800,2021
588032,Anapu - PA,1500859,2021
363771,Augusto Corrêa - PA,1500909,2021
308633,Aurora do Pará - PA,1500958,2021
151969,Aveiro - PA,1501006,2021
250548,Bagre - PA,1501105,2021
562147,Baião - PA,1501204,2021
129007,Bannach - PA,1501253,2021
9243937,Barcarena - PA,1501303,2021
33467126,Belém - PA,1501402,2021
237196,Belterra - PA,1501451,2021
1986729,Benevides - PA,1501501,2021
243883,Bom Jesus do Tocantins - PA,1501576,2021
206682,Bonito - PA,1501600,2021
1389573,Bragança - PA,1501709,2021
379813,Brasil Novo - PA,1501725,2021
115088,Brejo Grande do Araguaia - PA,1501758,2021
794309,Breu Branco - PA,1501782,2021
893933,Breves - PA,1501808,2021
536730,Bujaru - PA,1501907,2021
227634,Cachoeira do Piriá - PA,1501956,2021
255830,Cachoeira do Arari - PA,1502004,2021
1393690,Cametá - PA,1502103,2021
34989610,Canaã dos Carajás - PA,1502152,2021
1427144,Capanema - PA,1502202,2021
615773,Capitão Poço - PA,1502301,2021
4709312,Castanhal - PA,1502400,2021
248270,Chaves - PA,1502509,2021
100969,Colares - PA,1502608,2021
662825,Conceição do Araguaia - PA,1502707,2021
420236,Concórdia do Pará - PA,1502756,2021
406927,Cumaru do Norte - PA,1502764,2021
3667341,Curionópolis - PA,1502772,2021
282512,Curralinho - PA,1502806,2021
149717,Curuá - PA,1502855,2021
369777,Curuçá - PA,1502905,2021
940611,Dom Eliseu - PA,1502939,2021
556042,Eldorado do Carajás - PA,1502954,2021
76730,Faro - PA,1503002,2021
602623,Floresta do Araguaia - PA,1503044,2021
276033,Garrafão do Norte - PA,1503077,2021
506638,Goianésia do Pará - PA,1503093,2021
334287,Gurupá - PA,1503101,2021
415894,Igarapé-Açu - PA,1503200,2021
691233,Igarapé-Miri - PA,1503309,2021
174628,Inhangapi - PA,1503408,2021
625213,Ipixuna do Pará - PA,1503457,2021
278006,Irituia - PA,1503507,2021
3078558,Itaituba - PA,1503606,2021
841956,Itupiranga - PA,1503705,2021
625760,Jacareacanga - PA,1503754,2021
615695,Jacundá - PA,1503804,2021
1451756,Juruti - PA,1503903,2021
503051,Limoeiro do Ajuru - PA,1504000,2021
340311,Mãe do Rio - PA,1504059,2021
98432,Magalhães Barata - PA,1504109,2021
13523145,Marabá - PA,1504208,2021
289997,Maracanã - PA,1504307,2021
263657,Marapanim - PA,1504406,2021
2578541,Marituba - PA,1504422,2021
1023972,Medicilândia - PA,1504455,2021
216855,Melgaço - PA,1504505,2021
452082,Mocajuba - PA,1504604,2021
1348481,Moju - PA,1504703,2021
