NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
6,Município,45,Pessoas,11333,1200393,Porto Walter - AC,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,389001,1200401,Rio Branco - AC,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,15560,1200427,Rodrigues Alves - AC,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,7217,1200435,Santa Rosa do Purus - AC,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,22402,1200450,Senador Guiomard - AC,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,44049,1200500,Sena Madureira - AC,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,46816,1200609,Tarauacá - AC,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,19170,1200708,Xapuri - AC,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,17523,1200807,Porto Acre - AC,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,16806,1300029,Alvarães - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,11533,1300060,Amaturá - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,9981,1300086,Anamã - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,18056,1300102,Anori - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,21781,1300144,Apuí - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,15889,1300201,Atalaia do Norte - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,45960,1300300,Autazes - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,18210,1300409,Barcelos - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,33722,1300508,Barreirinha - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,40908,1300607,Benjamin Constant - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,22495,1300631,Beruri - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,26479,1300680,Boa Vista do Ramos - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,38792,1300706,Boca do Acre - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,34869,1300805,Borba - AM,2025,2025,9324,População residente estimada
